token,window,active_definition,active_addresses,total_balance,gini
USDC,1d,sent_only,38061,13958803441.49612,0.994354354687961
USDC,1d,sent_or_received,64156,15954134946.691938,0.9940125702582431
USDC,1w,sent_only,143561,17868653427.38289,0.9939157871427615
USDC,1w,sent_or_received,229751,21053321015.76787,0.9937386359840374
USDC,1m,sent_only,376824,26056857841.076824,0.9949938280892423
USDC,1m,sent_or_received,583245,29874557139.60147,0.9942489124833847
USDC,3m,sent_only,1180439,29573179652.87592,0.9973134177242355
USDC,3m,sent_or_received,1616461,34851179728.60998,0.9962061288851938
USDC,6m,sent_only,2759845,32028246753.6144,0.9983592589751726
USDC,6m,sent_or_received,3555876,52564553028.62544,0.9968674613487443
USDC,1y,sent_only,3384324,34749444074.18874,0.9983064254650884
USDC,1y,sent_or_received,4540380,52878522949.600845,0.9977041783831076
USDC,all,sent_only,4703691,39885915854.11922,0.9983921616849669
USDC,all,sent_or_received,6855774,53511887414.53654,0.9978265308869272
